Area,SalePrice,Zoning,LotArea,Neighborhood,OverallQuality,OverallCondition,YearBuilt,YearRemodAdd,ExteriorQuality,ExteriorCondition,FullBath,HalfBath,Bedrooms,KitchenQuality,TotalRooms,MonthSold,YearSold
2138,106000,RM,8100,Old Town,5,5,1898,1965,3,3,2,0,2,3,11,11,2009
2640,265979,RM,11700,Old Town,7,7,1880,2003,4,3,1,1,4,4,8,5,2009
2007,160000,RM,8400,Old Town,6,7,1900,1950,3,3,2,0,3,5,8,6,2009
1288,119000,RM,3600,Old Town,6,7,1917,2007,3,3,1,0,3,5,5,5,2009
1742,168000,RM,17671,Old Town,8,9,1882,1986,4,4,1,1,4,4,8,11,2009
1482,143000,RM,9000,Old Town,7,9,1920,1988,3,4,1,0,3,3,7,7,2009
1022,85000,RM,7200,Old Town,5,4,1910,2006,3,3,1,0,2,3,4,6,2009
1869,124900,RM,8820,Old Town,5,6,1890,1996,3,3,1,0,2,3,7,9,2009
1480,119000,RM,5400,Old Town,6,6,1920,1950,2,3,1,0,3,3,6,9,2009
1521,146500,RM,9720,Old Town,6,7,1910,2002,3,3,1,0,4,4,8,9,2009
1576,223500,RL,21384,Brookside,5,6,1923,2004,3,3,1,1,3,4,6,5,2009
1432,149000,RL,6615,Brookside,6,6,1923,1950,3,3,1,0,3,4,6,9,2009
1548,205000,RL,7264,Brookside,7,7,1925,2007,4,4,2,1,3,5,5,10,2009
1654,137000,RL,4960,Brookside,5,7,1930,1982,3,3,2,0,3,3,7,5,2009
952,121000,RL,8854,Brookside,6,6,1916,1950,3,3,1,0,2,2,4,5,2009
1324,128000,RM,6000,Brookside,4,6,1936,1950,3,3,1,0,3,3,6,7,2009
1176,134900,RM,6000,Brookside,6,9,1937,2000,4,3,1,0,2,3,4,7,2009
1348,117000,RM,6000,Brookside,5,8,1925,1997,3,3,1,0,3,3,5,5,2009
1412,132500,RM,6000,Brookside,6,6,1939,1950,3,2,1,0,4,3,6,5,2009
1142,93000,RM,6000,Brookside,5,5,1924,1950,3,3,1,0,3,3,6,6,2009
904,119000,RM,6000,Brookside,6,7,1926,2004,4,3,1,0,2,3,4,1,2009
1301,100000,RM,6911,Brookside,5,5,1924,1950,3,3,1,0,2,2,5,10,2009
1539,141500,RM,6120,Brookside,5,6,1936,1950,3,2,1,1,3,3,5,4,2009
1573,133000,RM,6120,Brookside,4,7,1935,1995,3,3,1,0,3,4,6,7,2009
800,60000,RM,6120,Brookside,2,3,1936,1950,2,2,1,0,1,2,4,1,2009
875,105000,RM,6120,Brookside,5,7,1931,1993,3,3,1,0,2,3,5,11,2009
995,115000,RM,6120,Brookside,5,6,1925,1999,3,3,1,0,2,3,5,3,2009
1582,150000,RM,6120,Brookside,5,6,1938,1950,3,3,2,0,3,3,6,2,2009
1072,126500,RM,8635,Brookside,5,5,1925,1950,3,2,1,0,2,3,5,8,2009
2134,214500,RL,11888,Brookside,6,6,1916,1994,3,3,2,0,5,4,10,7,2009
2019,167500,RL,11414,Brookside,7,8,1910,1993,3,4,1,0,3,4,8,10,2009
1768,155000,RM,8094,Old Town,6,6,1915,1950,3,3,2,0,3,3,8,6,2009
1826,155000,RM,2500,Old Town,7,8,1915,2005,4,3,1,1,4,5,7,6,2009
1944,179900,RM,9928,Old Town,7,8,1915,1994,3,4,2,0,3,3,8,6,2009
2229,104000,RM,5520,Old Town,6,6,1912,1950,3,3,1,0,5,3,8,7,2009
2128,62500,RM,3000,Old Town,5,1,1922,1950,3,3,2,0,4,3,11,9,2009
1930,149000,RM,6876,Iowa DOT and Rail Road,6,5,1927,1950,3,3,2,0,4,3,8,8,2009
1208,103000,RM,6240,Iowa DOT and Rail Road,4,5,1925,1950,3,3,1,0,2,3,5,1,2009
1427,123000,RM,5775,Old Town,6,7,1915,2002,3,3,1,0,3,4,7,2,2009
1864,97500,RM,5852,Old Town,7,5,1902,2000,3,2,2,1,6,3,9,5,2009
1666,135000,RM,5160,Iowa DOT and Rail Road,6,6,1927,1950,3,2,1,0,3,3,4,8,2009
892,70000,RM,5160,Iowa DOT and Rail Road,4,6,1923,1950,3,4,1,0,1,4,5,7,2009
1403,116000,RM,10320,Iowa DOT and Rail Road,6,7,1915,1965,3,4,1,1,3,3,7,2,2009
704,88750,RL,4280,Sawyer,4,9,1946,2001,3,4,1,0,2,2,4,9,2009
1200,179000,RL,10800,Edwards,5,5,1987,1988,3,3,3,0,3,3,5,3,2009
1200,179000,RL,10800,Edwards,5,5,1987,1988,3,4,3,0,3,3,5,3,2009
1152,159900,RL,10547,Edwards,5,5,1978,1978,3,3,2,0,2,3,6,7,2009
904,61000,RL,10020,Edwards,1,1,1922,1950,2,2,0,1,1,2,4,3,2009
1369,103600,RH,6629,Edwards,6,6,1925,1950,3,4,2,0,3,3,6,7,2009
1112,63000,RL,9780,Edwards,5,3,1934,1950,3,3,2,0,4,3,6,3,2009
1464,175000,RL,12886,Sawyer,5,6,1963,1999,3,3,2,0,3,3,6,10,2009
1121,139000,RL,8816,Sawyer,5,6,1963,1963,3,3,1,0,3,3,5,6,2009
1683,172500,RL,11184,Sawyer,6,5,1978,1978,3,3,2,1,3,3,7,7,2009
1052,113500,RL,11625,Sawyer,5,6,1967,1967,3,3,1,1,3,3,6,4,2009
899,130000,RL,7800,Sawyer,5,7,1967,2004,3,3,1,0,3,4,5,6,2009
1034,149900,RL,8014,Sawyer,6,5,1978,1978,3,3,1,0,3,3,5,6,2009
858,134900,RL,7252,Sawyer,5,5,1982,1982,3,3,1,0,2,3,5,4,2009
860,137000,RL,8740,Sawyer,5,6,1982,1982,3,3,1,0,2,3,4,7,2009
1092,139000,RL,11616,Sawyer,5,5,1962,1962,3,3,1,0,3,3,6,9,2009
1774,165000,RL,15400,Sawyer,5,5,1961,1961,3,3,2,0,4,3,8,7,2009
1138,148000,RL,15312,Sawyer,6,5,1960,1960,3,3,1,0,3,3,6,3,2009
2071,165000,RL,15584,Clear Creek,5,5,1956,1956,3,3,1,1,4,3,9,10,2009
660,63900,RL,9000,Sawyer,2,2,1947,1950,3,3,1,0,2,2,5,6,2009
1788,161500,RL,11250,Clear Creek,4,5,1957,1989,3,3,1,0,5,3,8,11,2009
1473,143000,RL,25095,Clear Creek,5,8,1968,2003,3,3,1,0,1,5,5,6,2009
1229,135000,RL,17140,Edwards,4,6,1956,1956,3,3,1,0,3,3,6,4,2009
861,82500,RL,12342,Edwards,4,5,1940,1950,3,3,1,0,1,3,4,3,2009
1867,190000,RL,10708,Clear Creek,5,5,1955,1993,4,3,1,0,2,3,7,11,2009
1733,139600,RL,13680,Edwards,3,5,1955,1955,3,3,2,0,4,3,8,6,2009
1383,122000,RL,15635,Edwards,4,5,1954,1954,3,3,1,0,2,3,6,10,2009
1689,127500,RL,9855,Edwards,6,5,1956,1956,3,3,1,0,3,3,7,11,2009
1073,121500,RL,9571,Edwards,5,5,1956,1956,3,3,1,0,2,3,5,2,2009
1276,60000,RL,9571,Edwards,5,3,1958,1958,3,2,1,0,3,3,5,6,2009
1639,154400,RL,9350,Edwards,6,7,1946,1950,3,3,1,1,3,4,6,7,2009
672,113000,RL,9340,Edwards,4,6,1941,1950,3,3,1,0,2,3,4,8,2009
1089,125000,RL,7440,Edwards,5,6,1954,1954,3,3,1,0,3,3,5,9,2009
845,84000,RL,11500,Edwards,4,3,1957,1957,3,4,1,0,3,3,5,1,2009
1049,139500,RL,4235,Edwards,5,5,1984,1984,4,3,2,0,2,4,5,2,2009
1716,131000,RL,11409,Edwards,5,4,1949,2008,3,3,1,1,3,3,8,1,2009
1258,105000,RL,9060,Edwards,6,5,1939,1950,3,3,1,0,2,3,6,10,2009
1510,108000,RL,9084,Edwards,4,5,1940,1950,3,3,1,0,4,3,7,10,2009
1061,162000,RL,10778,Sawyer West,7,6,1990,1991,4,3,1,1,1,4,4,7,2009
1338,156500,RL,19255,Sawyer West,6,5,1983,1983,4,3,1,1,2,4,5,9,2009
2132,316600,RL,12327,Sawyer West,8,8,1983,2009,4,3,1,1,1,4,5,9,2009
2196,271900,RL,14684,Sawyer West,7,7,1990,1991,4,3,2,0,3,4,7,6,2009
1775,213000,RL,9317,Sawyer West,7,5,1993,1993,4,3,2,1,3,4,7,7,2009
1879,239900,RL,10560,Sawyer West,7,5,1993,1994,4,4,2,1,3,4,8,8,2009
2020,239500,RL,9828,Sawyer West,8,5,1995,1995,4,3,2,1,3,4,8,6,2009
2016,131000,RL,26400,Sawyer West,5,7,1880,2007,4,3,1,0,4,3,7,6,2009
1535,118964,RL,7018,Sawyer West,5,5,1979,1979,3,2,2,0,4,3,8,6,2009
1224,153337,RL,7018,Sawyer West,5,5,1979,1979,3,3,0,2,2,3,6,6,2009
2228,147983,RL,7018,Sawyer West,5,5,1979,1979,3,3,2,0,6,3,8,6,2009
1535,118858,RL,7018,Sawyer West,5,5,1979,1979,3,3,2,0,4,3,8,6,2009
2240,142953,RL,7018,Sawyer West,5,5,1979,1979,3,3,2,0,6,3,12,6,2009
1229,148325,RL,7040,Sawyer West,5,5,1979,1979,3,3,0,2,2,4,6,6,2009
1513,113722,RL,7007,Sawyer West,5,5,1979,1979,3,3,2,0,4,3,8,6,2009
2787,269500,RL,11855,Sawyer West,7,5,2000,2000,3,3,4,2,6,3,8,10,2009
2787,269500,RL,7939,Sawyer West,7,5,2000,2000,3,3,4,2,6,3,8,10,2009
2787,269500,RL,7976,Sawyer West,7,5,2000,2000,3,3,4,2,6,3,8,10,2009
1680,323262,RL,10933,College Creek,9,5,2009,2009,5,3,1,1,1,5,8,7,2009
1718,297000,RL,10637,College Creek,8,5,2007,2008,4,3,2,0,3,4,7,9,2009
1630,295493,RL,10226,College Creek,8,5,2008,2008,4,3,2,0,3,5,8,1,2009
1720,332000,RL,10816,College Creek,9,5,2008,2008,5,3,2,0,3,5,8,11,2009
1468,239900,RL,9178,College Creek,8,5,2008,2008,4,3,2,0,3,4,6,6,2009
1768,212000,RL,10769,College Creek,8,5,2007,2007,4,3,2,1,3,4,7,4,2009
1838,272500,RL,11422,College Creek,8,5,2007,2008,4,3,2,0,3,4,7,4,2009
1800,239000,RL,11923,College Creek,9,5,2007,2007,4,3,2,0,2,5,7,5,2009
1604,220000,RL,8814,College Creek,7,5,2006,2006,4,3,2,1,3,4,8,3,2009
1290,200000,RL,6762,College Creek,7,5,2007,2007,4,3,2,0,2,4,6,5,2009
1254,221800,RL,10324,College Creek,8,5,2008,2008,4,3,2,0,2,4,5,3,2009
1232,194500,RL,7314,College Creek,7,5,2007,2007,4,3,2,0,2,4,6,2,2009
1498,237000,RL,11645,College Creek,8,5,2005,2006,4,3,2,0,3,4,7,3,2009
1422,173000,RL,11646,College Creek,6,5,2005,2006,4,3,2,1,3,4,7,7,2009
1644,275000,RL,12800,Sawyer West,7,5,1989,1989,4,3,2,0,2,4,5,8,2009
1759,233500,RL,16698,Clear Creek,7,5,1992,1993,4,3,2,1,3,4,7,6,2009
2126,185000,RL,28698,Clear Creek,5,5,1967,1967,3,3,2,1,3,3,7,6,2009
1040,152000,RL,12464,College Creek,5,5,1996,1996,3,4,1,0,3,4,6,11,2009
990,143000,RL,9757,College Creek,5,7,1994,1994,3,4,1,0,3,3,5,10,2009
1764,231500,RL,15426,College Creek,6,5,1997,1997,3,3,2,1,3,4,7,8,2009
1661,212000,RL,10667,College Creek,7,6,1996,1996,4,3,2,1,3,4,6,4,2009
1463,207000,RL,14753,College Creek,7,5,1998,1998,3,3,2,0,3,3,5,12,2009
1097,145000,RL,10859,College Creek,5,5,1994,1995,3,3,1,1,3,3,6,6,2009
990,138000,RL,8072,College Creek,5,5,1994,1995,3,4,1,0,3,3,5,5,2009
1779,197900,RL,10400,College Creek,7,5,1998,1998,3,3,2,1,3,4,6,3,2009
1501,204000,RL,10335,College Creek,7,5,1999,1999,4,3,2,0,3,4,6,6,2009
1431,192000,RL,9017,College Creek,7,5,1999,1999,4,3,2,0,3,4,6,9,2009
1772,200000,RL,8750,College Creek,6,5,1998,1998,3,3,2,1,3,3,7,4,2009
1660,195000,RL,8935,College Creek,7,5,2002,2002,4,3,2,1,3,4,7,7,2009
1573,227000,RL,9808,College Creek,7,5,2002,2002,4,3,2,0,3,4,6,3,2009
1840,230000,RL,12420,College Creek,7,5,2001,2001,4,3,2,1,3,4,6,6,2009
1430,187100,RL,16285,College Creek,7,5,2001,2002,4,3,2,0,3,4,6,6,2009
1444,203000,RL,10739,College Creek,7,5,2002,2001,4,3,2,0,3,4,6,4,2009
1492,201000,RL,11166,College Creek,7,5,2001,2001,4,3,2,0,3,4,6,7,2009
1040,124000,RL,8430,College Creek,5,5,1978,1978,3,3,2,0,3,3,5,8,2009
907,140000,RL,16269,College Creek,5,5,1978,1978,3,3,1,0,3,3,5,7,2009
914,134900,RL,6950,College Creek,5,7,1979,1979,3,3,1,0,2,3,5,10,2009
1040,150500,RL,8800,College Creek,5,7,1977,2008,3,3,2,0,3,4,5,9,2009
864,136500,RL,7000,College Creek,5,8,1978,2005,4,4,1,0,3,3,6,7,2009
1268,143500,RL,9286,College Creek,5,7,1977,1989,3,3,1,1,3,4,5,10,2009
864,133500,RL,15523,College Creek,5,6,1972,1972,3,3,1,0,3,3,5,8,2009
894,123000,RL,7200,College Creek,5,5,1972,1972,3,3,1,0,2,3,6,9,2009
768,133900,RL,7200,College Creek,5,8,1972,2003,3,4,1,0,2,3,5,4,2009
768,133000,RL,8445,College Creek,5,7,1972,2007,3,3,1,0,2,3,5,3,2009
1611,250000,RL,11664,College Creek,7,5,2002,2002,4,3,2,0,3,4,6,9,2009
2184,254750,RL,12334,College Creek,8,5,2003,2003,4,3,2,1,4,4,8,6,2009
1788,236500,RL,11838,College Creek,8,5,2001,2001,4,3,2,0,3,5,7,6,2009
1872,261500,RL,11885,College Creek,8,5,2001,2001,4,3,2,1,3,5,7,11,2009
2153,313000,RL,11050,College Creek,9,5,2000,2000,4,3,2,1,3,5,8,5,2009
1725,198500,RL,8749,College Creek,7,5,2002,2002,4,3,2,1,3,4,6,11,2009
1870,211000,RL,11250,College Creek,7,5,2001,2001,4,3,2,1,3,4,6,5,2009
1513,220000,RL,15750,College Creek,8,5,1999,2000,4,3,2,0,2,4,5,6,2009
1504,203000,RL,11883,College Creek,7,5,1996,1996,4,3,2,0,3,4,6,6,2009
1828,279500,RL,12782,College Creek,8,5,2002,2003,4,3,2,0,3,4,7,6,2009
1417,210000,RL,8750,College Creek,7,5,1997,1998,4,3,2,0,3,4,7,8,2009
2034,219500,RL,9375,College Creek,7,5,1997,1998,3,3,2,1,3,4,8,2,2009
1716,191000,RL,8750,College Creek,7,5,1996,1996,4,3,2,1,2,4,7,7,2009
1212,178000,RL,9100,College Creek,7,5,2001,2001,4,3,2,0,3,4,6,6,2009
1630,213000,RL,9750,College Creek,7,5,2000,2001,4,3,2,0,3,4,6,10,2009
848,144000,RM,4435,College Creek,6,5,2003,2004,4,3,1,0,1,4,4,6,2009
848,140000,RM,4435,College Creek,6,5,2003,2003,4,3,1,0,1,4,4,5,2009
1602,293200,RL,10200,College Creek,8,5,2007,2007,4,3,2,0,3,4,7,1,2009
1728,190000,RL,9313,College Creek,7,5,2004,2004,4,3,2,1,3,4,7,4,2009
1500,190000,RL,8487,College Creek,7,5,2004,2004,4,3,2,0,3,4,6,8,2009
1476,173500,RL,8633,College Creek,6,5,2005,2005,4,3,2,1,3,4,7,2,2009
1396,170000,RL,11069,College Creek,6,5,2007,2007,4,3,2,1,3,4,6,7,2009
1126,108000,RL,8777,Edwards,4,5,1949,2003,3,3,2,0,2,4,5,5,2009
1486,167000,RL,9937,Edwards,5,7,1964,1999,3,4,1,0,3,3,7,3,2009
816,100000,RL,8877,Edwards,4,6,1938,1958,3,3,1,0,2,3,3,5,2009
1922,198500,RL,7301,Edwards,7,5,2003,2003,4,3,3,0,4,4,7,7,2009
1426,159500,RL,7950,Edwards,6,6,1977,1977,3,3,1,1,3,3,6,7,2009
1149,127000,RL,10682,Edwards,4,6,1960,1971,3,3,1,0,3,3,7,7,2009
1125,125000,RL,7200,Edwards,6,6,1976,1976,3,3,1,0,3,3,6,10,2009
1698,320000,RL,13286,Edwards,9,5,2007,2008,5,3,2,0,3,5,8,2,2009
1072,145500,RM,3675,Edwards,6,5,2005,2006,3,3,1,0,2,3,5,4,2009
698,118000,RL,9405,Edwards,5,9,1947,2008,3,5,1,0,2,3,4,6,2009
876,85000,RL,6410,Edwards,4,5,1959,1959,3,3,1,0,3,3,5,3,2009
1368,120000,RL,11767,Edwards,5,5,1950,1950,3,3,1,0,3,3,6,6,2009
1529,98000,RL,8405,Edwards,4,3,1945,1950,3,3,2,0,4,3,9,4,2009
864,99900,RL,4060,Edwards,5,8,1922,1950,3,3,1,0,2,3,4,7,2009
944,82000,RL,10206,Edwards,3,3,1952,1952,3,3,1,0,2,2,4,7,2009
1678,119900,RL,10926,Edwards,5,5,1959,1959,3,3,2,0,6,3,10,8,2009
1560,103500,RL,11767,Edwards,5,5,1956,1956,3,3,1,0,2,3,7,5,2009
960,112000,RL,8926,Edwards,4,3,1956,1956,3,3,1,0,3,3,5,10,2009
1196,110000,RL,12354,Edwards,6,8,1920,2000,3,3,1,0,3,4,7,8,2009
1298,122000,RL,8212,Edwards,5,6,1941,1950,3,3,1,0,3,3,6,9,2009
1604,117000,RL,10998,Edwards,5,5,1941,1960,3,3,2,0,3,3,6,7,2009
1268,160000,RH,6300,South & West of Iowa State University,5,4,1938,1950,3,3,1,1,3,3,7,7,2009
1520,159434,RH,4500,South & West of Iowa State University,5,5,1932,2000,3,3,1,0,3,3,6,7,2009
438,60000,RL,8400,South & West of Iowa State University,2,5,1920,1950,3,3,1,0,1,2,3,1,2009
1489,139500,RL,9900,South & West of Iowa State University,6,7,1940,1950,3,3,2,0,3,3,7,7,2009
3082,197000,RL,15863,South & West of Iowa State University,7,3,1920,1970,3,3,2,1,5,3,12,8,2009
1242,105000,RL,5707,South & West of Iowa State University,6,6,1935,1950,3,3,1,1,3,3,6,3,2009
1981,135000,RL,7804,South & West of Iowa State University,4,3,1928,1950,3,3,2,0,4,4,7,12,2009
1232,147500,RL,8574,Crawford,6,8,1916,2000,4,3,1,0,3,4,6,10,2009
1608,137450,RL,6171,South & West of Iowa State University,6,6,1925,1990,3,3,2,1,3,4,7,10,2009
1135,155000,RL,7200,South & West of Iowa State University,7,9,1936,2007,4,4,1,0,3,4,6,4,2009
1913,177000,RL,7558,Crawford,6,6,1928,1950,3,3,1,1,3,3,9,3,2009
1477,145000,RL,6292,South & West of Iowa State University,7,7,1928,1950,3,3,2,0,3,3,6,8,2009
1228,137000,RL,7155,Crawford,7,8,1918,1990,3,3,1,0,3,3,6,5,2009
2080,234000,RL,10918,Crawford,7,9,1926,2004,4,3,1,1,3,4,9,6,2009
1567,205000,RL,13680,Crawford,5,6,1940,1950,3,3,1,1,2,3,6,2,2009
1494,177500,RL,7500,Crawford,6,7,1942,1950,3,3,1,0,3,4,7,11,2009
1308,160000,RL,9600,Crawford,5,7,1940,1950,4,4,1,1,2,3,7,6,2009
1273,155000,RL,14680,Crawford,5,4,1960,1960,3,3,1,0,2,3,5,6,2009
964,163500,RL,13360,Crawford,5,7,1921,2006,3,4,1,0,2,3,5,8,2009
1343,154900,RL,7681,Crawford,5,6,1921,1950,3,3,1,1,3,3,7,7,2009
2480,205000,RL,8145,Crawford,7,6,1940,1950,3,3,2,1,5,3,13,7,2009
1112,144800,RL,9100,Crawford,5,6,1954,1954,3,4,1,0,2,3,6,10,2009
1564,174500,RL,12000,Crawford,7,7,1941,1950,3,3,1,1,3,2,7,7,2009
1561,193000,RL,13339,Crawford,6,6,1960,1960,3,3,2,0,3,3,6,5,2009
1523,158000,RL,15600,Crawford,5,7,1949,2005,3,3,2,0,3,2,7,10,2009
1152,158500,RL,14000,Crawford,6,8,1950,2004,3,4,1,0,3,4,6,8,2009
1906,224000,RL,17500,Crawford,6,5,1954,1954,3,3,1,1,3,3,6,1,2009
1032,115000,RM,1733,Bluestem,6,6,1980,1980,3,3,1,0,2,3,5,5,2009
1229,137000,RM,1488,Bluestem,6,6,1980,1992,3,4,1,1,2,4,5,10,2009
1229,121000,RM,1612,Bluestem,6,6,1980,1980,3,3,1,1,2,3,5,7,2009
1229,124000,RM,1300,Bluestem,6,6,1980,1980,3,3,1,1,2,3,5,5,2009
1982,208000,RL,13607,Crawford,6,6,1986,1986,3,4,2,1,3,3,6,4,2009
2365,315000,RL,17597,Crawford,7,9,1971,2009,4,4,2,0,3,5,7,7,2009
1680,222000,RL,21695,Crawford,6,9,1988,2007,4,4,2,0,3,4,5,12,2009
1344,147000,RM,10690,Iowa DOT and Rail Road,5,7,1920,1997,3,4,1,0,3,3,6,7,2009
2168,123000,RM,8660,Iowa DOT and Rail Road,5,6,1900,1993,3,3,2,0,5,4,11,12,2009
1192,78000,RM,6402,Iowa DOT and Rail Road,5,5,1920,1950,3,3,1,0,3,3,6,7,2009
1648,230000,RM,3843,Crawford,8,5,2007,2008,5,3,2,0,2,5,5,6,2009
2052,251000,RL,10125,Mitchell,8,5,2000,2001,4,3,2,1,3,4,7,5,2009
2149,239686,RL,12822,Mitchell,7,5,2003,2003,4,3,1,1,1,4,6,8,2009
1710,240000,RL,12118,Mitchell,7,5,2004,2005,4,3,2,0,3,4,7,4,2009
1961,215000,RL,12209,Mitchell,6,5,2001,2002,3,3,2,1,3,4,7,6,2009
926,156450,RL,9750,Mitchell,6,6,1977,1977,3,3,1,0,2,3,5,4,2009
1287,173000,RL,9360,Mitchell,6,7,1977,1977,3,3,1,1,2,3,5,11,2009
1734,126000,RL,10125,Mitchell,5,5,1977,1977,3,3,2,0,4,4,8,8,2009
1217,173000,RL,9947,Mitchell,7,5,1990,1991,3,3,2,0,3,4,6,6,2009
1595,152000,RL,11070,Mitchell,5,5,1991,1991,3,3,2,0,2,3,5,4,2009
1344,137500,RL,14375,Timberland,6,6,1958,1958,3,3,1,0,3,4,7,1,2009
2036,375000,RL,215245,Timberland,7,5,1965,1965,3,3,2,0,3,3,8,6,2009
1620,315500,RL,12898,Timberland,9,5,2007,2008,4,3,2,0,2,5,6,9,2009
1692,224500,RL,13159,Timberland,7,5,2009,2009,3,3,2,1,3,4,6,7,2009
2036,410000,RL,13438,Timberland,9,5,2008,2008,5,3,2,0,3,5,9,7,2009
1641,316500,RL,14463,Timberland,9,5,2008,2008,5,3,2,0,3,5,7,1,2009
1466,201000,RL,8925,Timberland,8,5,2007,2007,4,3,2,0,3,4,7,7,2009
1412,175000,RL,11457,Timberland,6,5,1988,1988,3,3,2,0,3,4,6,3,2009
2237,204000,RL,9839,Timberland,6,8,1980,2006,3,4,2,1,3,4,7,2,2009
1479,213500,RL,14419,Timberland,7,5,1987,1989,3,3,2,1,3,4,7,7,2009
1296,220000,RL,6853,Timberland,8,5,2001,2002,4,3,2,0,2,4,6,6,2009
2014,170000,RL,9157,Timberland,7,5,2003,2003,4,3,2,1,3,4,9,2,2009
1838,315000,RL,14601,Timberland,9,5,2006,2006,5,3,2,0,2,5,8,3,2009
1978,425000,RL,12633,Timberland,9,5,2007,2007,5,3,2,0,2,5,7,5,2009
1008,139500,RL,12518,Mitchell,5,7,1968,1968,3,3,1,0,3,4,6,4,2009
1771,115000,RL,21750,Mitchell,5,4,1960,2006,3,2,1,0,3,3,9,11,2009
1204,162000,RM,4500,Mitchell,6,5,1998,1998,3,3,2,0,2,3,5,6,2009
1224,165000,RM,4500,Mitchell,6,5,1999,1999,3,3,2,0,2,3,5,6,2009
988,91000,RM,1596,Meadow Village,4,5,1973,1973,3,3,1,0,2,3,5,11,2009
874,130000,RL,9858,Mitchell,5,6,1968,1968,3,3,1,0,3,3,5,11,2009
630,86000,RM,1526,Meadow Village,4,8,1970,2002,3,4,1,0,1,4,3,5,2009
1404,160000,RL,13383,Mitchell,5,5,1969,2000,3,3,2,0,3,3,7,3,2009
630,80000,RM,1477,Meadow Village,4,4,1970,1970,3,3,1,0,1,3,3,4,2009
1344,97000,RM,1533,Meadow Village,4,6,1970,2008,3,3,1,1,3,3,6,5,2009
1092,88000,RM,2217,Meadow Village,4,4,1970,1970,3,3,1,1,3,3,6,8,2009
796,131900,RL,7689,Mitchell,5,8,1972,1972,3,3,1,0,2,3,4,7,2009
1091,131250,RL,7706,Mitchell,6,5,1993,1996,3,4,1,0,2,3,5,8,2009
1110,165500,RL,9101,Mitchell,5,6,1978,1978,3,4,1,0,1,4,4,7,2009
833,112000,RL,8780,Mitchell,5,5,1985,1985,3,3,1,0,3,3,5,3,2009
883,149000,RL,7669,Mitchell,5,6,1992,1993,3,3,1,0,2,3,5,6,2009
1362,143000,RL,14115,Mitchell,5,5,1993,1995,3,3,1,1,1,3,5,10,2009
1287,130000,RL,10429,Mitchell,5,5,1992,1992,3,3,1,1,3,3,6,7,2009
1567,196000,RL,9819,Mitchell,6,5,1977,1977,3,3,2,0,2,4,5,5,2009
1632,173000,RL,10457,Mitchell,5,7,1969,1969,4,5,1,1,4,3,7,4,2009
1414,176500,RL,11029,Northwest Ames,6,8,1958,2002,5,3,1,0,3,3,6,5,2008
2117,237500,RL,12925,Northwest Ames,6,7,1970,1970,3,3,2,1,4,3,7,5,2008
2112,206900,RL,11075,Northwest Ames,6,5,1969,1969,3,3,2,1,4,3,9,6,2008
1604,187500,RL,8702,Gilbert,6,5,1997,1998,3,3,2,1,3,3,7,4,2008
1470,165000,RL,8139,Gilbert,6,5,1995,1996,3,3,2,1,3,3,7,10,2008
1604,195500,RL,9535,Gilbert,6,5,1998,1998,3,3,2,1,3,3,7,5,2008
1638,192000,RL,9042,Gilbert,6,5,1998,1998,3,3,2,1,3,3,7,7,2008
1636,173000,RL,15038,Gilbert,6,5,1996,1996,3,3,2,1,3,3,7,11,2008
1384,177900,RL,14137,Gilbert,5,5,1996,1997,4,3,2,0,3,4,7,11,2008
1446,175000,RL,21872,Gilbert,7,5,1996,1997,3,3,2,1,3,3,6,8,2008
1593,286000,RL,4923,Stone Brook,8,5,2001,2002,4,3,1,1,0,5,5,8,2008
1682,247900,RL,6264,Stone Brook,8,5,1997,1997,4,3,1,1,1,4,6,7,2008
1337,180000,RL,5395,Stone Brook,8,5,1993,1993,4,3,2,0,2,4,5,10,2008
1280,180000,RL,5070,Stone Brook,8,5,1992,1992,4,3,2,0,2,4,5,8,2008
1604,181000,RL,10839,Gilbert,6,5,1997,1998,3,3,2,1,3,3,7,7,2008
1633,183000,RL,11184,Gilbert,6,5,1998,1998,3,3,2,1,3,3,7,4,2008
1658,188000,RL,8000,Gilbert,6,5,1995,1996,3,3,2,1,3,3,8,6,2008
1895,194500,RL,10832,Gilbert,7,5,1994,1996,4,3,2,1,3,4,7,10,2008
1709,185000,RL,14067,Gilbert,6,5,1991,1991,3,3,2,1,3,4,7,9,2008
1228,189000,RL,4671,Stone Brook,8,5,1988,1989,4,3,2,0,2,4,5,10,2008
1337,188500,RL,5950,Stone Brook,8,5,1989,1989,4,3,2,0,2,4,5,4,2008
2500,355000,RL,13543,Stone Brook,8,5,2005,2005,4,3,3,1,5,5,9,7,2008
2504,325000,RL,11198,Stone Brook,9,5,2005,2007,4,3,2,1,4,5,11,6,2008
1884,387000,RL,15401,Stone Brook,9,5,2004,2004,5,3,2,0,2,5,7,9,2008
1474,115000,RL,31220,Gilbert,6,2,1952,1952,3,3,1,0,3,3,7,5,2008
1710,334000,RL,8118,Stone Brook,9,5,2007,2007,5,3,2,0,2,5,6,7,2008
1488,133000,RL,47280,Gilbert,6,5,1950,1950,3,3,2,1,3,3,6,7,2008
2093,215000,RL,20544,Northwest Ames,7,6,1986,1991,3,4,2,1,3,3,7,11,2008
1688,226500,RL,12680,Northwest Ames,7,6,1988,1988,4,3,2,0,2,5,6,6,2008
